primarytext,header2,header3,img links,cta
Eat from your favourite restaurant! Try it today with Swiggy. Get 50% off* + Free Delivery on your first order!,Use Code WELCOME50,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/280181294_549836923375423_2285467203237605214_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=692uOWoWs8kAX-Lw-hl&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-Grl1MKny9Web-AS1KNNUYWnPfNk2MwavdiaDG3cbchQ&oe=62B4F754,Order Now
Eat from your favourite restaurant! Try it today with Swiggy. Get 50% off* + Free Delivery on your first order!,Pay 50% less when you order in,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/280196793_753168272725800_4515493470402580190_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=1Ao0LNZfDQ4AX9S2AKQ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8sm4ZAuKD84eFYJrDzvGOcbce4b4qdc0nQBZqB7zrJPw&oe=62B4874B,Install Now
Be a Swiggy Delivery Partner and be your own boss with flexible timings and competitive salary.,Ride with Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/275110468_349724397036697_6862026117501016335_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=oxMy3ked2QYAX8MaLLc&_nc_oc=AQnQxTgQDw0GazsXw-EoWWThbiCae1rVtc3VbTEhVfqErGsmyJyiMsVjjll8vZOviEM&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-_aQuPlbNrhhCHoYP5AMEpwsNDB14pZuaFQTPIrPyDtw&oe=62B4708E,Apply Now
"Become a Swiggy Delivery Partner and get best in industry salary, insurance cover & flexible work timings.",Ride with Swiggy,,,Learn More
Become a Swiggy Delivery Partner & secure your family’s future with competitive salary & insurance cover.,Earn upto Rs.25000 p.m.,,,Apply Now
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/279455159_5384068615015976_7709230731945701636_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Z1OX109OxgoAX8AgaQO&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9fpSndJyuuA7dwIWrAU9DPmyYFo23yF7a8MlWGpYqjyg&oe=62B4FB20,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278044540_402514915047929_8749505543995875573_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=AjLLi-o-3CwAX-3zdry&_nc_oc=AQmagylrvCDRXphuSVBgledCsVlRzERZKnuP6TLwYvYWlSI_ZOX3E_68Z8T6YpDPD2k&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9ziw-aChB_cLD9vmIW6uJqQfBMkVJZObRGoT5HUrG-WA&oe=62B4D589,
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,"Earn up to Rs.25,000 p.m",,,Apply Now
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/279006394_413876153404177_4013817213428598644_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=0c0dHi9wWIgAX9X8hI6&_nc_ht=scontent.fblr22-1.fna&oh=00_AT97Fkv2KlzpUQwM1ZqLCnFW-lfO6IJzovCOYmcgGevrAA&oe=62B43E77,
Swiggy के साथ डेलिवर करें और पाएं आकर्षक कमाई अपनी मनपसंद शिफ्ट।,सवारी करें. डिलीवर करें. पैसे कमाएं,,,Apply Now
"Swiggy डिलीव्हरी पार्टनर व्हा आणि लवचिक वेळ, आकर्षक पेआऊट आणि लाभ घ्या.","25,000 रुपये पर्यंत दर महिना कमवा",,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future,Earn upto Rs.25000 p.m.,,,Apply Now
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,Ride with Swiggy,,,Apply Now
Eat from your favourite restaurant! Try it today with Swiggy. Get 50% off* + 𝐅𝐫𝐞𝐞 𝐃𝐞𝐥𝐢𝐯𝐞𝐫𝐲 on your first order!,⚠ Temptation warning ⚠,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/276063490_708851780428512_2093481119242160184_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=STVFYK3tdugAX-INkC-&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_GJ6NdmDOG207wuFkFND-W14C9Nfec8H4ot3t-Byz7NQ&oe=62B3E537,Order Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.

💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",Ride with Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278594277_694249255225081_3829574109540398573_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=_sW3H1hgkhsAX8IU-p_&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_A2MfcxhuCd8BGsUaNnjP6WHXw7QpTOs_IQWgY7p2fsg&oe=62B4F4A7,Apply Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.

💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",Ride with Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/277791011_717072752641696_8867533300820920783_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=R-tvkOo-u68AX_B8TDm&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_Le9a0k7m6DvTevJQUjQhYjztwY82rEtmGOqO9aYDWFw&oe=62B48260,Apply Now
"Swiggy ಡೆಲಿವರಿ ಪಾರ್ಟ್ನರ್ ಆಗಿ ಮತ್ತು ಸ್ಪರ್ಧಾತ್ಮಕ ವೇತನ ಮತ್ತು ಹೊಂದಿಕೊಳ್ಳುವ ಕೆಲಸದ ಸಮಯವನ್ನು ಪಡೆಯಿರಿ.

💰ವಾರಕ್ಕೊಮ್ಮೆ ಪಾವತಿ ಮತ್ತು ಹೆಚ್ಚಿನ ಪ್ರೋತ್ಸಾಹ
👪 ನಿಮಗೆ ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ಜೀವವಿಮೆ
✨ ಅತ್ಯಾಕರ್ಷಕ ಕಾರ್ಯಕ್ಷಮತೆಗೆ ಸಂಬಂಧಿಸಿದ ಬಹುಮಾನಗಳು",Swiggy ಯೊಂದಿಗೆ ಸವಾರಿ ಮಾಡಿ,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278564452_373730184640234_4894629960839924250_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hqvksUalewoAX8RJYwQ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-2NKjqy2uKDkeTZ2sZxB1wBNNBq1p0n_BS_nGNGhs4Yw&oe=62B4518C,Apply Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.

💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",Ride with Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278456624_383282010355720_6362288264311330288_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=k7lidHNZqmwAX_3LSjU&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-zsYKxdkrgAR2LJGHAk9zlldc-uigOPF2cR3N1o454mA&oe=62B47776,Apply Now
"Swiggy ಡೆಲಿವರಿ ಪಾರ್ಟ್ನರ್ ಆಗಿ ಮತ್ತು ಸ್ಪರ್ಧಾತ್ಮಕ ವೇತನ ಮತ್ತು ಹೊಂದಿಕೊಳ್ಳುವ ಕೆಲಸದ ಸಮಯವನ್ನು ಪಡೆಯಿರಿ.

💰ವಾರಕ್ಕೊಮ್ಮೆ ಪಾವತಿ ಮತ್ತು ಹೆಚ್ಚಿನ ಪ್ರೋತ್ಸಾಹ
👪 ನಿಮಗೆ ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ಜೀವವಿಮೆ
✨ ಅತ್ಯಾಕರ್ಷಕ ಕಾರ್ಯಕ್ಷಮತೆಗೆ ಸಂಬಂಧಿಸಿದ ಬಹುಮಾನಗಳು",Swiggy ಯೊಂದಿಗೆ ಸವಾರಿ ಮಾಡಿ,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278548712_702836380754006_486928779674852560_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=UuNlyYBqX0YAX9ctIOO&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8nKv4B4jptsw27fGwG3YJsfOStMiNoY22srJKkrPhoMA&oe=62B3A1EB,Apply Now
Be a Swiggy Delivery Partner and be your own boss with flexible timings.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278374940_1650863748593890_7366340790940204858_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=OcZ7Be-H14EAX89o_VM&_nc_oc=AQkKxMEJibi-rNTa-0LqCU5pRMR84EnE698f5DoomnFa1DMCymEWJbmkQJmGerQ-GCw&_nc_ht=scontent.fblr22-1.fna&oh=00_AT88Btm11fodbAwtWbBnINJyAQrGSAuoHoEPp6Qr-0ylag&oe=62B35D68,Apply Now
Swiggy के साथ डेलिवर करें और बनें खुद के बॉस। चुनें अपनी मनपसंद शिफ्ट और पाएं आकर्षक कमाई का मौका।,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278338928_818140242948598_4692474679350468976_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=8gcE9XEpbDQAX8jAGnv&_nc_ht=scontent.fblr22-1.fna&oh=00_AT81KO3avKlrhT49nKaQiToA25EG2hV5fjdRyboBVWF1vg&oe=62B38CC5,
